"pID","Effective Precipitation (mm)_med","Elevation (m)_med","Frost-Free Days_med","Growing Degree Days (degrees C)_med","Mean Annual Air Temperature (degrees C)_med","Mean Annual Precipitation (mm)_med","Slope Gradient (%)_med"
1,-271.013610839844,1242,100,1369,7.94904613494873,293,1
2,-223.869247436523,1299,97,1423,8.09553241729736,360,0
3,-292.712158203125,1247,100,1360,7.94711399078369,278,0
4,-219.351837158203,1298,97,1421,8.10718250274658,364,0
5,-219.351837158203,1298,97,1421,8.10718250274658,364,0
6,-232.130111694336,1299,97,1421,8.09553241729736,353,0
7,-219.351837158203,1298,97,1421,8.10718250274658,364,0
8,-219.351837158203,1298,97,1421,8.10718250274658,364,0
9,-206.892150878906,1298,96,1424,8.10459232330322,372,0
10,-202.3876953125,1297,96,1424,8.11094093322754,379,0
11,-233.423324584961,1299,98,1419,8.10481643676758,353,1
12,-202.3876953125,1297,96,1424,8.11094093322754,379,0
13,-274.530517578125,1232,101,1371,7.95816707611084,290,0
14,-275.987243652344,1232,100,1389,8.04233169555664,292,0
15,-227.692794799805,1297,99,1421,8.15864849090576,357,0
16,-275.870483398438,1236,101,1373,7.96690368652344,290,3
17,-273.772979736328,1237,99,1385,8.00544166564941,294,0
18,-216.427001953125,1299,96,1421,8.06009387969971,367,0
19,-243.593322753906,1311,96,1398,8.00284194946289,338,3
20,-275.958587646484,1232,100,1386,8.04030990600586,292,1
21,-262.864166259766,1297,99,1414,8.09264087677002,331,0
22,-230.572021484375,1353,116,1370,8.37720489501953,354,6
23,-270.834747314453,1241,101,1384,8.03297519683838,294,1
24,-231.830505371094,1293,101,1377,8.03216648101807,350,0
25,-204.322113037109,1296,100,1340,7.92285394668579,368,0
26,-193.54931640625,1316,104,1375,8.16114234924316,383,6
27,-245.075805664062,1339,108,1366,8.25177955627441,345,0
28,-246.066604614258,1352,112,1368,8.36345672607422,343,2
29,-186.422485351562,1305,98,1420,8.11905288696289,390,2
30,-248.640319824219,1303,98,1398,8.00519943237305,337,3
31,-257.783813476562,1257,102,1366,8.04598331451416,306,2
32,-276.453887939453,1233,99,1383,8.03030586242676,290,0
33,-275.951507568359,1231,100,1391,8.02535820007324,292,0
34,-253.020126342773,1337,110,1365,8.27946853637695,338,0
35,-250.789642333984,1297.5,96,1409,8.03869533538818,337,4
36,-263.498626708984,1299,97,1410,8.03456497192383,329,0
37,-275.958587646484,1238,100,1386,8.04030990600586,292,1
38,-267.638061523438,1299,96,1411,8.00987339019775,327,0
39,-274.661010742188,1235,100,1382,8.00591087341309,291,1
40,-194.830917358398,1301,103,1373,8.11508846282959,379,2
41,-161.884521484375,1302,102,1368,8.03071784973145,404,4
42,-261.100433349609,1299,97,1410,8.05000019073486,331,0
43,-223.869247436523,1299,97,1423,8.09553241729736,360,0
44,-219.351837158203,1298,97,1421,8.10718250274658,364,0
45,-219.351837158203,1298,97,1421,8.10718250274658,364,0
46,-232.130111694336,1299,97,1421,8.09553241729736,353,0
47,-219.351837158203,1298,97,1421,8.10718250274658,364,0
48,-219.351837158203,1298,97,1421,8.10718250274658,364,0
49,-206.892150878906,1298,96,1424,8.10200214385986,372,0
50,-202.3876953125,1297,96,1424,8.11094093322754,379,0
